"app","agent"
"com.cashierlive.mobileregister","Cashier/974 CFNetwork/711.4.6 Darwin/14.0.0"
"com.nbcuni.nbc.portal","NBC/3.0.2.226 CFNetwork/711.4.6 Darwin/14.0.0"
"com.nbcuni.nbc.portal","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X; en-CA)"
"com.nbcuni.nbc.portal","BRNetworking/3.0.2.226 (iPad;iPhone OS-8.4)"
"com.nbcuni.nbc.portal","ANVSDK ios.3.15.1.z.RC1 (iPad; IOS 8.4 like Mac OS X)"
"com.nbcuni.nbc.portal","AppleCoreMedia/1.0.0.12H143 (iPad; U; CPU OS 8_4 like Mac OS X; en_us)"
"com.yourcompany.abg","com.apple.siri.analyzer/1 CFNetwork/711.4.6 Darwin/14.0.0"
"com.conversiongames.guesstheemoji","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.conversiongames.guesstheemoji","GuessTheEmoji/6.10 CFNetwork/711.4.6 Darwin/14.0.0"
"com.conversiongames.guesstheemoji","MobileAsset/1.1"
"com.conversiongames.guesstheemoji","StoreKitUIService/1.0 iOS/8.4 model/iPad4,4 build/12H143 (5; dt:103)"
"com.edgerift.emergencyradiolite","Em.RadioFree 2.3 (iPad; iPhone OS 8.4; en_CA)"
"com.edgerift.emergencyradiolite","EmergencyRadioFree/2.3 CFNetwork/711.4.6 Darwin/14.0.0"
"com.edgerift.emergencyradiolite","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.edgerift.emergencyradiolite","GeoServices/982.64 CFNetwork/711.4.6 Darwin/14.0.0"
"com.edgerift.emergencyradiolite","EmergencyRadio/2.3 (iPhone)"
"com.edgerift.emergencyradiolite","PF3UELQ57C.com.EdgeRift.EmergencyRadioLite"
"com.yogurtland.yl","Yogurtland%20Store/4.0.2 CFNetwork/711.4.6 Darwin/14.0.0"
"com.yogurtland.yl","Mozilla/5.0 (iPhone; U; CPU iPhone OS 8.4 like Mac OS X; en) BB FrameworkMobile BB FrameworkNative App (v4.0.2)"
"com.yogurtland.yl","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.yogurtland.yl","GeoServices/982.64 CFNetwork/711.4.6 Darwin/14.0.0"
"com.caringbridge.app","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.eatstreet.eatstreet","MobileAsset/1.1"
"com.eatstreet.eatstreet","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.ally.mobilebanking","securityd (unknown version) CFNetwork/711.4.6 Darwin/14.0.0"
"com.ally.mobilebanking","AppStore/2.0 iOS/8.4 model/iPad4,4 build/12H143 (5; dt:103)"
"com.ally.mobilebanking","MobileAsset/1.1"
"com.ally.mobilebanking","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.rethinkbooks.bookshout","MobileAsset/1.1"
"com.rethinkbooks.bookshout","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.seusx.freeskinshuffle","Skin%20Shuffle/3 CFNetwork/711.4.6 Darwin/14.0.0"
"com.seusx.freeskinshuffle","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.seusx.freeskinshuffle","MobileAsset/1.1"
"com.seusx.freeskinshuffle","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.seusx.freeskinshuffle","AppStore/2.0 iOS/8.4 model/iPad4,4 build/12H143 (5; dt:103)"
"com.generamobile.lfpiphone","LFP/3.2.20 CFNetwork/711.4.6 Darwin/14.0.0"
"com.generamobile.lfpiphone","LFP/3.2.20 (iPad; iOS 8.4; Scale/2.00)"
"com.generamobile.lfpiphone","AppStore/2.0 iOS/8.4 model/iPad4,4 build/12H143 (5; dt:103)"
"com.mbta.mobileapp.store","Metro/1.20.01 CFNetwork/711.4.6 Darwin/14.0.0"
"com.mbta.mobileapp.store","GoogleAnalytics/1.4 (iPad; U; CPU iPhone OS 8.4 like Mac OS X; en-ca)"
"com.mbta.mobileapp.store","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143 (367784832)"
"com.eurosport.newsarabia","EurosportArabia/3.1 CFNetwork/711.4.6 Darwin/14.0.0"
"com.eurosport.newsarabia","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.eurosport.newsarabia","MobileAsset/1.1"
"com.eurosport.newsarabia","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.slice.slicemobile","securityd (unknown version) CFNetwork/711.4.6 Darwin/14.0.0"
"com.slice.slicemobile","MobileAsset/1.1"
"com.slice.slicemobile","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12H143 Safari/600.1.4"
"com.slice.slicemobile","com.apple.mobilesafari/8.0 iOS/8.4 model/iPad4,4 build/12H143 (5; dt:103)"
"org.sfpark.app","GeoServices/982.64 CFNetwork/711.4.6 Darwin/14.0.0"
"org.sfpark.app","SFpark/1.5 CFNetwork/711.4.6 Darwin/14.0.0"
"org.sfpark.app","6D928LR577.org.sfpark.app"
"org.sfpark.app","sfpark-iphone-app"
"com.initialcoms.bom","Ridibooks/621 CFNetwork/711.4.6 Darwin/14.0.0"
"com.initialcoms.bom","Ridibooks/6.32 (iPad; iOS 8.4; Scale/2.00)"
"com.initialcoms.bom","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.tacobell.argame","ARgame/530 CFNetwork/711.4.6 Darwin/14.0.0"
"com.texterity.texterity.costcoconnect","CostcoConnect/19.0 CFNetwork/711.4.6 Darwin/14.0.0"
"com.texterity.texterity.costcoconnect","WebtrendsClientLibrary/1.4.9+(App_iPhone)"
"com.texterity.texterity.costcoconnect","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.thinkorswim.tdam","Trader/169.6 CFNetwork/711.4.6 Darwin/14.0.0"
"com.littlebrowniebakers.cookielocator","FindCookies!/2.1.82 CFNetwork/711.4.6 Darwin/14.0.0"
"com.grinmans.wheresmybuslite","WheresMyBusLite/2.3 CFNetwork/711.4.6 Darwin/14.0.0"
"com.grinmans.wheresmybuslite","GeoServices/982.64 CFNetwork/711.4.6 Darwin/14.0.0"
"com.grinmans.wheresmybuslite","B8Q27XTDK7.com.grinmans.WheresMyBusLite"
"com.yourcompany.earthquake","YellowPages/7.8.1.1 CFNetwork/711.4.6 Darwin/14.0.0"
"com.yourcompany.earthquake","GeoServices/982.64 CFNetwork/711.4.6 Darwin/14.0.0"
"com.yourcompany.earthquake","M84WGWM644.com.yourcompany.Earthquake"
"com.yourcompany.earthquake","Mozilla/5.0 (iPad; CPU OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.beenverified.backgroundchecker","BeenVerified/4.1.8 CFNetwork/711.4.6 Darwin/14.0.0"
"com.beenverified.backgroundchecker","securityd (unknown version) CFNetwork/711.4.6 Darwin/14.0.0"
"com.i21.21stapp","Appcelerator Titanium/3.2.2.GA (iPad/8.4; iPhone OS; en_CA;)"
"com.i21.21stapp","21st/6.0.0 CFNetwork/711.4.6 Darwin/14.0.0"
"com.i21.21stapp","Mozilla/5.0 (iPhone; CPU iPhone OS 8_4 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12H143"
"com.i21.21stapp","GoogleAnalytics/2.0b3 (iPad; U; CPU iPhone OS 8.4 like Mac OS X; en-ca)"
"com.hrblock.iphoneprod","Emerald%20Card/4.7 CFNetwork/711.4.6 Darwin/14.0.0"
"com.hrblock.iphoneprod","Mozilla/5.0 (iPad; U; CPU iPhone OS 8_4 like Mac OS X; en-CA) Emerald Card/4.7"
