"app","agent"
"com.seusx.freeskinshuffle","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
"com.generamobile.lfpiphone","LFP/3.2.20 CFNetwork/711.1.16 Darwin/14.0.0"
"com.generamobile.lfpiphone","None"
"com.generamobile.lfpiphone","LFP/3.2.20 (iPad; iOS 8.1.2; Scale/2.00)"
"com.generamobile.lfpiphone","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.generamobile.lfpiphone","MobileAsset/1.1"
"com.mbta.mobileapp.store","Metro/1.20.01 CFNetwork/711.1.16 Darwin/14.0.0"
"com.mbta.mobileapp.store","None"
"com.mbta.mobileapp.store","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.mbta.mobileapp.store","GoogleAnalytics/1.4 (iPad; U; CPU iPhone OS 8.1.2 like Mac OS X; en-ca)"
"com.mbta.mobileapp.store","Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440 (400951200)"
"com.mbta.mobileapp.store","AppStore/2.0 iOS/8.1.2 model/iPad4,4 build/12B440 (5; dt:103)"
"com.eurosport.newsarabia","EurosportArabia/3.1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.eurosport.newsarabia","None"
"com.eurosport.newsarabia","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.eurosport.newsarabia","MobileAsset/1.1"
"com.eurosport.newsarabia","Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.slice.slicemobile","securityd (unknown version) CFNetwork/711.1.16 Darwin/14.0.0"
"com.slice.slicemobile","None"
"com.slice.slicemobile","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.slice.slicemobile","MobileAsset/1.1"
"org.sfpark.app","SFpark/1.5 CFNetwork/711.1.16 Darwin/14.0.0"
"org.sfpark.app","None"
"org.sfpark.app","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"org.sfpark.app","6D928LR577.org.sfpark.app"
"com.initialcoms.bom","Ridibooks/621 CFNetwork/711.1.16 Darwin/14.0.0"
"com.initialcoms.bom","None"
"com.initialcoms.bom","Ridibooks/6.32 (iPad; iOS 8.1.2; Scale/2.00)"
"com.initialcoms.bom","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.initialcoms.bom","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.initialcoms.bom","MobileAsset/1.1"
"com.tacobell.argame","ARgame/530 CFNetwork/711.1.16 Darwin/14.0.0"
"com.tacobell.argame","None"
"com.tacobell.argame","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.tacobell.argame","Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.tacobell.argame","MobileAsset/1.1"
"com.crossforward.pedometer","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.crossforward.pedometer","None"
"com.crossforward.pedometer","MobileAsset/1.1"
"com.texterity.texterity.costcoconnect","CostcoConnect/19.0 CFNetwork/711.1.16 Darwin/14.0.0"
"com.texterity.texterity.costcoconnect","None"
"com.texterity.texterity.costcoconnect","WebtrendsClientLibrary/1.4.9+(App_iPhone)"
"com.texterity.texterity.costcoconnect","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.texterity.texterity.costcoconnect","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.texterity.texterity.costcoconnect","MobileAsset/1.1"
"com.thinkorswim.tdam","Trader/169.6 CFNetwork/711.1.16 Darwin/14.0.0"
"com.thinkorswim.tdam","None"
"com.thinkorswim.tdam","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.thinkorswim.tdam","MobileAsset/1.1"
"com.thinkorswim.tdam","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
"com.thinkorswim.tdam","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.anishu.homebudgetlite","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.anishu.homebudgetlite","None"
"com.anishu.homebudgetlite","MobileAsset/1.1"
"com.littlebrowniebakers.cookielocator","FindCookies!/2.1.82 CFNetwork/711.1.16 Darwin/14.0.0"
"com.littlebrowniebakers.cookielocator","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.littlebrowniebakers.cookielocator","None"
"com.littlebrowniebakers.cookielocator","MobileAsset/1.1"
"com.grinmans.wheresmybuslite","WheresMyBusLite/2.3 CFNetwork/711.1.16 Darwin/14.0.0"
"com.grinmans.wheresmybuslite","None"
"com.grinmans.wheresmybuslite","B8Q27XTDK7.com.grinmans.WheresMyBusLite"
"com.grinmans.wheresmybuslite","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.yourcompany.earthquake","YellowPages/7.8.1.1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.yourcompany.earthquake","None"
"com.yourcompany.earthquake","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.yourcompany.earthquake","MobileAsset/1.1"
"com.beenverified.backgroundchecker","BeenVerified/4.1.8 CFNetwork/711.1.16 Darwin/14.0.0"
"com.beenverified.backgroundchecker","None"
"com.beenverified.backgroundchecker","securityd (unknown version) CFNetwork/711.1.16 Darwin/14.0.0"
"com.beenverified.backgroundchecker","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.beenverified.backgroundchecker","com.apple.siri.analyzer/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.beenverified.backgroundchecker","MobileAsset/1.1"
"com.i21.21stapp","Appcelerator Titanium/3.2.2.GA (iPad/8.1.2; iPhone OS; en_CA;)"
"com.i21.21stapp","21st/6.0.0 CFNetwork/711.1.16 Darwin/14.0.0"
"com.i21.21stapp","None"
"com.i21.21stapp","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.i21.21stapp","GoogleAnalytics/2.0b3 (iPad; U; CPU iPhone OS 8.1.2 like Mac OS X; en-ca)"
"com.hrblock.iphoneprod","Emerald%20Card/4.7 CFNetwork/711.1.16 Darwin/14.0.0"
"com.hrblock.iphoneprod","None"
"com.hrblock.iphoneprod","Mozilla/5.0 (iPad; U; CPU iPhone OS 8_1_2 like Mac OS X; en-CA) Emerald Card/4.7"
"com.hrblock.iphoneprod","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.hrblock.iphoneprod","MobileAsset/1.1"
"com.glu.modwarsniper","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.glu.modwarsniper","None"
"com.glu.modwarsniper","modwarsniper/3.0.2 CFNetwork/711.1.16 Darwin/14.0.0"
"com.glu.modwarsniper","securityd (unknown version) CFNetwork/711.1.16 Darwin/14.0.0"
"com.glu.modwarsniper","gamed/4.10.18.4.6.15.5.3.2 (iPad4,4; 8.1.2; 12B440; GameKit-194.15)"
"com.glu.modwarsniper","MobileAsset/1.1"
"com.dineequity.ihop","IHOP/1.23 CFNetwork/711.1.16 Darwin/14.0.0"
"com.dineequity.ihop","None"
"com.dineequity.ihop","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.dineequity.ihop","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.dineequity.ihop","MobileAsset/1.1"
"com.triactivemedia.hypehair","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.triactivemedia.hypehair","None"
"com.triactivemedia.hypehair","Hype%20Hair/4.9.76 CFNetwork/711.1.16 Darwin/14.0.0"
"com.triactivemedia.hypehair","MobileAsset/1.1"
"com.fatattitude.buschecker.mta","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.fatattitude.buschecker.mta","None"
"com.fatattitude.buschecker.mta","MobileAsset/1.1"
"com.weightwatchers.wwmobile","WW%20Mobile/3.6.4.1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.weightwatchers.wwmobile","None"
"com.weightwatchers.wwmobile","Mozilla/5.0 (iPad; U; CPU iPhone OS 8_1_2 like Mac OS X; en-CA) WW Mobile/3.6.4.1"
"com.weightwatchers.wwmobile","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.weightwatchers.wwmobile","MobileAsset/1.1"
"com.weightwatchers.wwmobile","com.apple.mobilesafari/8.0 iOS/8.1.2 model/iPad4,4 build/12B440 (5; dt:103)"
"com.hbo.maxgo","MAX GO 2.5.1 rv:2.5.1.4100 (iPad; iPhone OS 8.1.2; en_CA)"
"com.hbo.maxgo","None"
"com.hbo.maxgo","Mozilla/5.0 (iPad; U; CPU iPhone OS 8_1_2 like Mac OS X; en-CA) MAXGO/2.5.1.4100"
"com.hbo.maxgo","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.hbo.maxgo","MobileAsset/1.1"
"com.maxwell.billsmonitorfree","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.maxwell.billsmonitorfree","None"
"com.maxwell.billsmonitorfree","AppStore/2.0 iOS/8.1.2 model/iPad4,4 build/12B440 (5; dt:103)"
"com.maxwell.billsmonitorfree","MobileAsset/1.1"
"com.aperturemobile.sleeptimezzz","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.aperturemobile.sleeptimezzz","None"
"com.aperturemobile.sleeptimezzz","SleepTime%20zZz/1.1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.aperturemobile.sleeptimezzz","Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.aperturemobile.sleeptimezzz","AppStore/2.0 iOS/8.1.2 model/iPad4,4 build/12B440 (5; dt:103)"
"com.aperturemobile.sleeptimezzz","MobileAsset/1.1"
"com.worldlinkinc.italktogod","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.worldlinkinc.italktogod","None"
"com.woojijuice.hokusai","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.woojijuice.hokusai","None"
"com.woojijuice.hokusai","AdSheet/1.0 CFNetwork/711.1.16 Darwin/14.0.0"
"com.babyfirsttv.christmasactivitybook","Mozilla/5.0 (iOS; U; en) AppleWebKit/533.19.4 (KHTML, like Gecko) AdobeAIR/15.0"
"com.babyfirsttv.christmasactivitybook","None"
"com.babyfirsttv.christmasactivitybook","Christmas%20Activity%20Book/3.0.6 CFNetwork/711.1.16 Darwin/14.0.0"
"com.babyfirsttv.christmasactivitybook","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.babyfirsttv.christmasactivitybook","MobileAsset/1.1"
"com.doapps.b9e6d9221dcefc50ba23c6bd04ace911","WFAA/19 CFNetwork/711.1.16 Darwin/14.0.0"
"com.doapps.b9e6d9221dcefc50ba23c6bd04ace911","None"
"com.doapps.b9e6d9221dcefc50ba23c6bd04ace911","securityd (unknown version) CFNetwork/711.1.16 Darwin/14.0.0"
"com.doapps.b9e6d9221dcefc50ba23c6bd04ace911","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.doapps.b9e6d9221dcefc50ba23c6bd04ace911","Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440 QuantcastSDK/iOS_1.2.13/(null)"
"com.doapps.b9e6d9221dcefc50ba23c6bd04ace911","MobileAsset/1.1"
"com.seekingalpha.seekingalpha","SeekingAlpha/1730 CFNetwork/711.1.16 Darwin/14.0.0"
"com.seekingalpha.seekingalpha","None"
"com.seekingalpha.seekingalpha","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.seekingalpha.seekingalpha","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.seekingalpha.seekingalpha","Mozilla/5.0 (iPhone SeekingAlphaiPhoneApp; U; iPad4,4; en) IOS/8.1.2 USERID/ DEVICETOKEN/ VER/3.0.2 KIND/portfolio"
"com.seekingalpha.seekingalpha","MobileAsset/1.1"
"com.bassw3masters.nl.bassw3mastersnl.getpregnant","Get%20Pregnant/14 CFNetwork/711.1.16 Darwin/14.0.0"
"com.bassw3masters.nl.bassw3mastersnl.getpregnant","None"
"com.bassw3masters.nl.bassw3mastersnl.getpregnant","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.bassw3masters.nl.bassw3mastersnl.getpregnant","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.bassw3masters.nl.bassw3mastersnl.getpregnant","MobileAsset/1.1"
"com.bassw3masters.nl.bassw3mastersnl.getpregnant","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
"spanishdictionaryprofree.net.ithinkdiff","Spanish/46 CFNetwork/711.1.16 Darwin/14.0.0"
"spanishdictionaryprofree.net.ithinkdiff","None"
"spanishdictionaryprofree.net.ithinkdiff","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"spanishdictionaryprofree.net.ithinkdiff","MobileAsset/1.1"
"com.rik.light","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.rik.light","None"
"com.rik.light","MobileAsset/1.1"
"com.comcast.cim.xfinitytv","Mozilla/5.0 (iPad; U; CPU iPhone OS 8_1_2 like Mac OS X; en-CA) XfinityRemote/63"
"com.comcast.cim.xfinitytv","None"
"com.comcast.cim.xfinitytv","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"pr.apex.primerahora","Primera%20Hora/306 CFNetwork/711.1.16 Darwin/14.0.0"
"pr.apex.primerahora","None"
"pr.apex.primerahora","Primera Hora 3.3.1 rv:306 (iPad; iPhone OS 8.1.2; en_CA)"
"pr.apex.primerahora","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"pr.apex.primerahora","Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440 Safari/9537.53"
"pr.apex.primerahora","Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"pr.apex.primerahora","MobileAsset/1.1"
"com.actualsoftware.faxfile","FaxFile/938 CFNetwork/711.1.16 Darwin/14.0.0"
"com.actualsoftware.faxfile","None"
"com.actualsoftware.faxfile","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.actualsoftware.faxfile","MobileAsset/1.1"
"com.smallware.solfree","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.smallware.solfree","None"
"com.smallware.solfree","Solitaire/350 CFNetwork/711.1.16 Darwin/14.0.0"
"com.smallware.solfree","MobileAsset/1.1"
"com.meijer.mobile.meijer","Meijer/270;PIMapsLib/4.2.0;iPhone OS/8.1.2;iPad4,4"
"com.meijer.mobile.meijer","Meijer/270 CFNetwork/711.1.16 Darwin/14.0.0"
"com.meijer.mobile.meijer","None"
"com.meijer.mobile.meijer","Mozilla/5.0 (iPad; U; CPU iPhone OS 8_1_2 like Mac OS X; en-CA) Meijer/270"
"com.meijer.mobile.meijer","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.meijer.mobile.meijer","MobileAsset/1.1"
"com.bakedbymelissa.bakedbymelissaipad","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.bakedbymelissa.bakedbymelissaipad","None"
"com.bakedbymelissa.bakedbymelissaipad","bbmar/5 CFNetwork/711.1.16 Darwin/14.0.0"
"com.bakedbymelissa.bakedbymelissaipad","PKYM6LEADK.com.bakedbymelissa.BakedbyMelissaiPad"
"com.bakedbymelissa.bakedbymelissaipad","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.bakedbymelissa.bakedbymelissaipad","MobileAsset/1.1"
"gov.wa.wsdot.iphone.wsdot","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440 (5357328320)"
"gov.wa.wsdot.iphone.wsdot","None"
"gov.wa.wsdot.iphone.wsdot","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"gov.wa.wsdot.iphone.wsdot","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"gov.wa.wsdot.iphone.wsdot","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440 (5197931872)"
"com.magzter.seventeenmalaysia","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.magzter.seventeenmalaysia","None"
"com.magzter.seventeenmalaysia","stardust/410 CFNetwork/711.1.16 Darwin/14.0.0"
"com.magzter.seventeenmalaysia","MobileAsset/1.1"
"com.lucidifi.learnspanish","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.lucidifi.learnspanish","None"
"com.lucidifi.learnspanish","GoogleAnalytics/1.3 (iPad; U; CPU iPhone OS 8.1.2 like Mac OS X; en-ca)"
"com.lucidifi.learnspanish","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.lucidifi.learnspanish","MobileAsset/1.1"
"com.turner.atsoundboardapp","Beemo/225 CFNetwork/711.1.16 Darwin/14.0.0"
"com.turner.atsoundboardapp","None"
"com.turner.atsoundboardapp","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.turner.atsoundboardapp","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440 (359435696)"
"com.turner.atsoundboardapp","MobileAsset/1.1"
"com.nypost.iphone","NYPost/1.4.7 (iPad; iOS 8.1.2; Scale/2.00)"
"com.nypost.iphone","None"
"com.nypost.iphone","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.mobilewareinc.ontime-metra-ad","onTime/5.0.5 (iPad; iOS 8.1.2; Scale/2.00)"
"com.mobilewareinc.ontime-metra-ad","None"
"com.mobilewareinc.ontime-metra-ad","onTime/5.0.5 CFNetwork/711.1.16 Darwin/14.0.0"
"com.mobilewareinc.ontime-metra-ad","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.mobilewareinc.ontime-metra-ad","AdSheet/1.0 CFNetwork/711.1.16 Darwin/14.0.0"
"com.mobilewareinc.ontime-metra-ad","MobileAsset/1.1"
"com.antlerinsanity.antler-insanity","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.antlerinsanity.antler-insanity","None"
"com.3g.gochat","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.3g.gochat","None"
"com.arvest.mbanking","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.arvest.mbanking","None"
"com.arvest.mbanking","securityd (unknown version) CFNetwork/711.1.16 Darwin/14.0.0"
"com.arvest.mbanking","AppStore/2.0 iOS/8.1.2 model/iPad4,4 build/12B440 (5; dt:103)"
"com.raycom.wbtv.wbtv-weather","WBTVweather/3.7.501 CFNetwork/711.1.16 Darwin/14.0.0"
"com.raycom.wbtv.wbtv-weather","None"
"com.raycom.wbtv.wbtv-weather","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.raycom.wbtv.wbtv-weather","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.raycom.wbtv.wbtv-weather","5N94534VQP.com.raycom.wbtv.WBTV-Weather"
"com.raycom.wbtv.wbtv-weather","MobileAsset/1.1"
"com.app.whiteboard","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.app.whiteboard","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.app.whiteboard","None"
"com.app.whiteboard","MobileAsset/1.1"
"com.buffalowildwings.bdubsapp","FightForFandom/902 CFNetwork/711.1.16 Darwin/14.0.0"
"com.buffalowildwings.bdubsapp","None"
"com.buffalowildwings.bdubsapp","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.buffalowildwings.bdubsapp","com.apple.siri.analyzer/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.buffalowildwings.bdubsapp","MobileAsset/1.1"
"com.univision.iphone","TransperaSDK v3.6.0.88-fw : iPad4,4 : iPhone OS : 8.1.2"
"com.univision.iphone","None"
"com.univision.iphone","Univision/318 CFNetwork/711.1.16 Darwin/14.0.0"
"com.univision.iphone","Mozilla/5.0 (iPad; U; CPU iPhone OS 8_1_2 like Mac OS X; en-CA) Univision/318"
"com.univision.iphone","Mozilla/5.0 (iPad4,4; iOS 8.1.2) FreeWheelAdManager/5.18.2-r10681-201412020307;com.univision.iphone Univision/318"
"com.univision.iphone","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.univision.iphone","MobileAsset/1.1"
"com.pacificspiritmedia.bestvids.fashionstore","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Mobile/12B440"
"com.pacificspiritmedia.bestvids.fashionstore","None"
"com.pacificspiritmedia.bestvids.fashionstore","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.pacificspiritmedia.bestvids.fashionstore","Mozilla/5.0 (iPad; CPU OS 8_1_2 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B440 Safari/600.1.4"
"com.pacificspiritmedia.bestvids.fashionstore","MobileAsset/1.1"
"com.svtsoftware.debtpayoffa","AssistantServices/1 CFNetwork/711.1.16 Darwin/14.0.0"
"com.svtsoftware.debtpayoffa","None"
